epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.54581,1.57716,4.2684,1.88854,0.07461,0.06011,0.05294,0.03366,0.92752,4.87333,1.31161,5e-05,5e-05,0.09505
2,10.7107,1.20652,2.50726,1.62813,0.84933,0.2459,0.17257,0.07022,1.72064,3.79774,1.74482,0.000109996,0.000109996,0.08911
3,16.8218,1.06444,1.03779,1.40797,0.88778,0.22951,0.2035,0.12486,1.61209,3.60239,1.70309,0.000169973,0.000169973,0.08317
4,26.0901,1.05237,0.89347,1.33836,0.89317,0.26776,0.24808,0.17763,1.37964,3.16568,1.5309,0.000229919,0.000229919,0.0772299
5,38.9672,0.91304,0.77316,1.31299,0.90773,0.25697,0.25942,0.20455,1.26243,2.73897,1.45029,0.000289819,0.000289819,0.0712898
6,46.3968,0.97079,0.70614,1.36134,0.98659,0.25683,0.28202,0.21847,1.18776,2.85041,1.38918,0.000349658,0.000349658,0.0653497
7,54.7934,0.96534,0.681,1.28944,0.88157,0.27322,0.21498,0.17284,1.07336,3.01133,1.32726,0.000409423,0.000409423,0.0594094
8,61.3714,1.00084,0.7054,1.39021,0.83179,0.27869,0.24883,0.18317,1.36684,6.05036,1.51095,0.0004691,0.0004691,0.0534691
9,66.2626,0.95783,0.66257,1.31069,0.51464,0.25683,0.23385,0.1864,1.39439,5.09423,1.49484,0.000528675,0.000528675,0.0475287
10,71.3174,0.98294,0.63128,1.36605,0.4883,0.27869,0.25418,0.19077,1.31419,6.64762,1.46956,0.000588134,0.000588134,0.0415881
11,74.9193,0.9283,0.60252,1.29878,0.55881,0.28415,0.27689,0.21094,1.4183,4.56238,1.52125,0.000647463,0.000647463,0.0356475
12,78.8756,0.98577,0.63176,1.32912,0.52187,0.27322,0.25868,0.18282,1.72027,7.02462,1.79677,0.000706648,0.000706648,0.0297066
13,83.3744,1.01839,0.65394,1.29929,0.47802,0.27322,0.26721,0.20621,1.50284,6.07921,1.6625,0.000765675,0.000765675,0.0237657
14,87.602,0.95827,0.67002,1.30176,0.54283,0.24035,0.24092,0.14892,1.67361,3.61728,1.77221,0.00082453,0.00082453,0.0178245
15,91.0827,0.90104,0.63744,1.28722,0.62058,0.23845,0.26796,0.19232,1.60012,3.40988,1.71298,0.0008832,0.0008832,0.0118832
16,94.5643,0.92794,0.63271,1.26169,0.27502,0.25774,0.26859,0.17795,1.73352,3.80903,1.87002,0.000941671,0.000941671,0.00594167
17,99.6699,0.95374,0.61178,1.23975,0.2935,0.2623,0.26922,0.16382,1.70672,3.98715,1.87841,0.000990028,0.000990028,0.000990028
18,103.372,0.91452,0.59072,1.28039,0.26602,0.23497,0.26228,0.16253,1.53484,2.94142,1.71716,0.000988748,0.000988748,0.000988748
19,107.322,0.90813,0.60789,1.25549,0.61518,0.25137,0.27772,0.1778,1.51293,2.95501,1.67621,0.000987391,0.000987391,0.000987391
20,110.957,0.90744,0.62399,1.26622,0.65128,0.20765,0.24982,0.17646,1.51228,3.22006,1.58104,0.000985958,0.000985958,0.000985958
21,116.958,1.02114,0.6888,1.29698,0.64465,0.23178,0.27385,0.19503,1.42971,3.14049,1.52791,0.000984449,0.000984449,0.000984449
22,122.343,0.9716,0.5973,1.29926,0.5769,0.2623,0.25895,0.20191,1.35036,3.76019,1.52455,0.000982864,0.000982864,0.000982864
23,126.636,0.99035,0.66973,1.30444,0.58352,0.27869,0.25773,0.19438,1.41207,4.131,1.60351,0.000981204,0.000981204,0.000981204
24,131.774,0.97418,0.60501,1.27912,0.58199,0.25137,0.23805,0.17648,1.53783,3.98909,1.69362,0.000979468,0.000979468,0.000979468
