epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0671,1.29302,2.16556,1.56789,0.73413,0.56383,0.66092,0.3445,1.64923,2.8817,2.01572,0.00031,0.00031,0.06931
2,27.1946,1.25138,1.1307,1.5074,0.30137,0.59363,0.32716,0.16642,2.07036,13.0315,3.13806,0.000629975,0.000629975,0.03763
3,39.7854,1.28226,1.13766,1.53836,0.26714,0.45269,0.30444,0.18473,1.5037,5.58975,2.36064,0.000949851,0.000949851,0.00594985
4,52.3978,1.26452,1.07677,1.50663,0.32994,0.76751,0.61542,0.30734,1.6375,7.11604,2.2993,0.000999648,0.000999648,0.000999648
5,64.9854,1.2554,1.00104,1.4604,0.73014,0.42514,0.53513,0.30882,1.61434,2.7827,1.9144,0.000999375,0.000999375,0.000999375
6,77.6709,1.27475,0.9234,1.47801,0.9216,0.92012,0.97873,0.65682,1.11804,1.10461,1.47849,0.000999023,0.000999023,0.000999023
7,90.6197,1.19147,0.90634,1.42151,0.79553,0.70466,0.80012,0.53801,1.17905,1.14232,1.48158,0.000998594,0.000998594,0.000998594
8,103.3,1.21305,0.96611,1.44423,0.82178,0.78017,0.90524,0.53301,1.27168,1.47948,1.57089,0.000998086,0.000998086,0.000998086
9,116.35,1.1485,0.90818,1.40576,0.61583,0.88072,0.66794,0.42513,1.31073,4.82149,1.62362,0.000997501,0.000997501,0.000997501
10,129.08,1.17121,0.90477,1.40258,0.71694,0.62067,0.74934,0.51697,1.14019,1.76717,1.43184,0.000996838,0.000996838,0.000996838
11,141.754,1.19264,0.86818,1.41286,0.90809,0.80088,0.92859,0.66399,1.02822,1.1345,1.26535,0.000996097,0.000996097,0.000996097
12,154.738,1.16056,0.85369,1.39526,0.95782,0.83562,0.95516,0.6432,1.12823,0.95922,1.391,0.000995278,0.000995278,0.000995278
13,167.366,1.12525,0.82023,1.34931,0.97384,0.98528,0.99318,0.67071,1.05326,0.79893,1.30201,0.000994383,0.000994383,0.000994383
14,180.514,1.14719,0.83212,1.37049,0.94319,0.99074,0.99391,0.60242,1.3644,0.69368,1.48131,0.00099341,0.00099341,0.00099341
15,193.561,1.12938,0.82653,1.37057,0.90627,0.92283,0.9546,0.67557,1.03154,0.69443,1.32397,0.000992359,0.000992359,0.000992359
16,206.641,1.16157,0.79179,1.39617,0.966,0.9632,0.97596,0.66974,1.18138,0.6203,1.37805,0.000991232,0.000991232,0.000991232
17,219.201,1.15826,0.76083,1.37299,0.97487,0.95291,0.98258,0.64181,1.22596,0.65811,1.36346,0.000990028,0.000990028,0.000990028
18,231.824,1.14824,0.78693,1.39915,0.93196,0.96153,0.98458,0.61519,1.26302,0.65425,1.42589,0.000988748,0.000988748,0.000988748
19,244.382,1.10929,0.78302,1.35996,0.97729,0.9936,0.99471,0.70388,0.99902,0.55309,1.23081,0.000987391,0.000987391,0.000987391
20,257.314,1.09319,0.74197,1.338,0.94701,0.97396,0.98898,0.68202,1.13683,0.67176,1.35154,0.000985958,0.000985958,0.000985958
21,269.907,1.09059,0.73114,1.33305,0.97631,1,0.9943,0.67964,1.10949,0.52465,1.30495,0.000984449,0.000984449,0.000984449
22,282.499,1.0686,0.72176,1.31906,0.95302,0.98834,0.99435,0.6538,1.13392,0.6231,1.37346,0.000982864,0.000982864,0.000982864
23,295.082,1.08378,0.74541,1.34955,0.98979,1,0.995,0.70427,1.01948,0.47585,1.22943,0.000981204,0.000981204,0.000981204
24,308.066,1.02954,0.69949,1.28513,0.99385,0.98311,0.99449,0.68448,1.12785,0.53872,1.29685,0.000979468,0.000979468,0.000979468
25,320.683,1.09258,0.74932,1.34483,0.99593,1,0.995,0.65174,1.21635,0.53294,1.42084,0.000977658,0.000977658,0.000977658
